integrand,action
\int_{0}^{1}\frac{2*x}{2*x}+{x}^{4}dx,1
\int_{0}^{1}(x+1)*(x+2)+xdx,1
\int_{0}^{1}2*xdx,1
\int_{0}^{1}8dx,0
\int_{0}^{1}\frac{1}{x}-x+\sin{x}dx,1
\int_{0}^{1}\frac{x}{\tan{x}}dx,8
\int_{0}^{1}\sin{x}*(x+1)dx,8
\int_{0}^{1}\sin{x}+\cos{x}dx,1
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\sqrt[3]{x}dx,0
\int_{0}^{1}\sqrt{x}dx,0
\int_{0}^{1}x*2dx,1
\int_{0}^{1}x+1dx,1
\int_{0}^{1}x+x-1dx,1
\int_{0}^{1}x-2-1dx,1
\int_{0}^{1}x-x+1dx,1
\int_{0}^{1}x-x-1dx,1
\int_{0}^{1}{\frac{1}{x}}^{2}dx,6
\int_{0}^{1}{x*2}^{3}dx,6
\int_{0}^{1}{x*\sin{x}}^{3}dx,8
\int_{0}^{1}{x+1}^{2}dx,2
\int_{0}^{1}{x-1}^{2}dx,2
\int_{0}^{1}{x-1}^{3}dx,7
\int_{0}^{1}{x}^{2}+1dx,1
\int_{0}^{1}{x}^{3}+{x}^{3}dx,1
\int_{0}^{1}{x}^{3}dx,1
\int_{0}^{2}x*x-x+1dx,1
\int_{1}^{2}2*\frac{1}{x}dx,1
\int_{1}^{2}x*\sin(x)dx,8
\int_{4}^{2}(x+1)*(x-1)dx,3
\int_{4}^{2}1dx,0
\int_{4}^{2}2*\frac{1}{x} + 3*\frac{1}{x}dx,1
\int_{4}^{2}2*\frac{1}{x} + 3dx,1
\int_{4}^{2}2*\sin(x) + 3dx,1
\int_{4}^{2}\frac{1}{x}dx,0
\int_{4}^{2}\frac{x+1}{x}dx,3
\int_{4}^{2}\sin(x+1)dx,7
\int_{4}^{2}\sin{x}dx,0
\int_{4}^{2}\sqrt{x}dx,0
\int_{4}^{2}dx,0
\int_{4}^{2}x+1*x-1dx,1
\int_{4}^{2}x+1dx,1
\int_{4}^{2}x+2*x+3*xdx,1
\int_{4}^{2}x+2dx,1
\int_{4}^{2}x+\sqrt[2]{x}dx,1
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\cos{2*x}dx,7
